ID,harga jual
1484,"0,00"
1485,"0,00"
1486,"0,00"
1487,"0,00"
1488,"0,00"
1489,"0,00"
1490,"0,00"
1491,"0,00"
1492,"0,00"
1493,"0,00"
1494,"0,00"
1495,"0,00"
1496,"0,00"
1497,"1.525,04"
1498,"0,00"
1499,"0,00"
1502,"14.798,52"
1503,"0,00"
1504,"0,00"
1505,"0,00"
1506,"0,00"
1507,"0,00"
1508,"0,00"
1509,"0,00"
1510,"0,00"
1511,"0,00"
1513,"0,00"
1514,"0,00"
1515,"0,00"
1516,"0,00"
1517,"0,00"
1518,"0,00"
1519,"0,00"
1520,"2.609,36"
1524,"163.232,16"
1525,"0,00"
1526,"0,00"
1527,"0,00"
1528,"0,00"
1529,"0,00"
1530,"0,00"
1531,"0,00"
1532,"0,00"
1533,"0,00"
1534,"0,00"
1535,"0,00"
1536,"0,00"
1537,"0,00"
1538,"0,00"
1539,"0,00"
1540,"0,00"
1541,"0,00"
1542,"0,00"
1543,"0,00"
1544,"0,00"
1545,"0,00"
1546,"0,00"
1547,"0,00"
1548,"1.880,08"
1549,"0,00"
1550,"0,00"
1551,"0,00"
1552,"0,00"
1553,"0,00"
1556,"0,00"
1557,"0,00"
1558,"0,00"
1559,"0,00"
1560,"2.649,87"
1561,"0,00"
1562,"0,00"
1563,"0,00"
1565,"0,00"
1566,"0,00"
1567,"9.999,81"
1568,"0,00"
1569,"229.764,50"
1570,"0,00"
1571,"0,00"
1572,"0,00"
1573,"3.632,36"
1574,"0,00"
1575,"0,00"
1576,"0,00"
1577,"0,00"
1579,"0,00"
1580,"0,00"
1581,"43.722,90"
1582,"0,00"
1583,"0,00"
1584,"0,00"
1586,"0,00"
1587,"0,00"
1588,"0,00"
1589,"0,00"
1590,"0,00"
1591,"0,00"
1592,"231.114,77"
1593,"0,00"
1594,"14.882,60"
1595,"0,00"
1596,"0,00"
1597,"0,00"
1598,"0,00"
1599,"0,00"
1600,"0,00"
1601,"0,00"
1602,"0,00"
1603,"0,00"
1604,"0,00"
1605,"0,00"
1606,"0,00"
1607,"0,00"
1608,"0,00"
1609,"0,00"
1610,"0,00"
1611,"0,00"
1612,"0,00"
1613,"0,00"
1614,"462.296,80"
1615,"189.479,03"
1616,"0,00"
1617,"0,00"
1618,"0,00"
1619,"0,00"
1620,"0,00"
1621,"0,00"
1622,"0,00"
1623,"145.743,00"
1624,"0,00"
1625,"0,00"
1626,"0,00"
1627,"9.125,31"
1629,"0,00"
1630,"0,00"
1631,"0,00"
1632,"0,00"
1633,"0,00"
1634,"0,00"
1635,"0,00"
1636,"0,00"
1637,"0,00"
1638,"0,00"
1639,"0,00"
1640,"0,00"
1641,"0,00"
1642,"0,00"
1643,"0,00"
1644,"0,00"
1645,"0,00"
1646,"0,00"
1647,"0,00"
1648,"0,00"
1649,"0,00"
1650,"0,00"
1651,"0,00"
1652,"0,00"
1653,"0,00"
1654,"0,00"
1655,"0,00"
1656,"0,00"
1657,"0,00"
1658,"0,00"
1659,"0,00"
1660,"0,00"
1661,"0,00"
1662,"0,00"
1663,"0,00"
1664,"0,00"
1665,"0,00"
1666,"0,00"
1667,"0,00"
1668,"0,00"
1669,"0,00"
1670,"0,00"
1671,"0,00"
1672,"0,00"
1673,"0,00"
1674,"0,00"
1675,"0,00"
1676,"0,00"
1677,"0,00"
1678,"0,00"
1679,"0,00"
1680,"0,00"
1681,"0,00"
1682,"0,00"
1683,"0,00"
1684,"0,00"
1685,"0,00"
1686,"0,00"
1687,"0,00"
1688,"0,00"
1689,"0,00"
1690,"0,00"
1691,"0,00"
1692,"0,00"
1693,"0,00"
1694,"0,00"
1695,"0,00"
1696,"0,00"
1697,"0,00"
1698,"0,00"
1699,"0,00"
1700,"0,00"
1701,"0,00"
1702,"0,00"
1703,"0,00"
1704,"0,00"
1705,"0,00"
1706,"0,00"
1707,"0,00"
1708,"0,00"
1709,"0,00"
1710,"0,00"
1711,"0,00"
1712,"0,00"
1713,"0,00"
1714,"0,00"
1715,"0,00"
1716,"0,00"
1717,"0,00"
1718,"0,00"
1719,"0,00"
1720,"0,00"
1721,"0,00"
1722,"0,00"
1723,"0,00"
1724,"0,00"
1725,"0,00"
1726,"0,00"
1727,"0,00"
1728,"0,00"
1729,"0,00"
1730,"0,00"
1731,"0,00"
1732,"0,00"
1733,"0,00"
1734,"0,00"
1735,"0,00"
1736,"0,00"
1737,"0,00"
1738,"0,00"
1739,"0,00"
1740,"0,00"
1741,"0,00"
1742,"0,00"
1743,"0,00"
